date	location	cases
2022-01-24	Connecticut	6028
2022-01-25	Connecticut	3824
2022-01-26	Connecticut	2795
2022-01-27	Connecticut	3036
2022-01-28	Connecticut	2684
2022-01-29	Connecticut	1110
2022-01-30	Connecticut	1110
2022-01-31	Connecticut	1110
2022-02-01	Connecticut	1240
2022-02-02	Connecticut	1786
2022-02-03	Connecticut	2445
2022-02-04	Connecticut	1269
2022-02-05	Connecticut	713
2022-02-06	Connecticut	713
2022-02-07	Connecticut	713
2022-02-08	Connecticut	1343
2022-02-09	Connecticut	1048
2022-02-10	Connecticut	1026
2022-02-11	Connecticut	1189
2022-02-12	Connecticut	508
2022-02-13	Connecticut	508
2022-02-14	Connecticut	508
2022-02-15	Connecticut	1284
2022-02-16	Connecticut	1828
2022-02-17	Connecticut	544
2022-02-18	Connecticut	1263
2022-02-19	Connecticut	430
2022-02-20	Connecticut	430
2022-02-21	Connecticut	430
2022-02-22	Connecticut	338
2022-02-23	Connecticut	540
2022-02-24	Connecticut	458
2022-02-25	Connecticut	423
2022-02-26	Connecticut	337
2022-02-27	Connecticut	337
2022-02-28	Connecticut	337
2022-03-01	Connecticut	170
2022-03-02	Connecticut	253
2022-03-03	Connecticut	589
2022-03-04	Connecticut	432
2022-03-05	Connecticut	166
2022-03-06	Connecticut	166
2022-03-07	Connecticut	166
2022-03-08	Connecticut	219
2022-03-09	Connecticut	330
2022-03-10	Connecticut	291
2022-03-11	Connecticut	343
2022-03-12	Connecticut	270
2022-03-13	Connecticut	270
2022-03-14	Connecticut	270
2022-03-15	Connecticut	305
2022-03-16	Connecticut	317
2022-03-17	Connecticut	404
2022-03-18	Connecticut	336
2022-03-19	Connecticut	201
2022-03-20	Connecticut	201
2022-03-21	Connecticut	201
2022-03-22	Connecticut	461
2022-03-23	Connecticut	396
2022-03-24	Connecticut	439
2022-03-25	Connecticut	429
2022-03-26	Connecticut	338
2022-03-27	Connecticut	338
2022-03-28	Connecticut	338
2022-03-29	Connecticut	365
2022-03-30	Connecticut	458
2022-03-31	Connecticut	742
2022-04-01	Connecticut	501
2022-04-02	Connecticut	423
2022-04-03	Connecticut	423
2022-04-04	Connecticut	423
2022-04-05	Connecticut	432
2022-04-06	Connecticut	478
2022-04-07	Connecticut	749
2022-04-08	Connecticut	691
2022-04-09	Connecticut	612
2022-04-10	Connecticut	612
2022-04-11	Connecticut	612
2022-04-12	Connecticut	631
2022-04-13	Connecticut	691
2022-04-14	Connecticut	407
2022-04-15	Connecticut	1193
2022-04-16	Connecticut	653
2022-04-17	Connecticut	653
2022-04-18	Connecticut	653
2022-04-19	Connecticut	1161
2022-04-20	Connecticut	1010
2022-04-21	Connecticut	877
2022-04-22	Connecticut	1150
2022-04-23	Connecticut	675
2022-04-24	Connecticut	675
2022-04-25	Connecticut	675
2022-04-26	Connecticut	1088
2022-04-27	Connecticut	1047
2022-04-28	Connecticut	1256
2022-04-29	Connecticut	1054
2022-04-30	Connecticut	696
2022-05-01	Connecticut	696
2022-05-02	Connecticut	696
2022-05-03	Connecticut	1727
2022-05-04	Connecticut	1052
2022-05-05	Connecticut	1420
2022-05-06	Connecticut	1603
2022-05-07	Connecticut	1530
2022-05-08	Connecticut	1530
2022-05-09	Connecticut	1530
2022-05-10	Connecticut	1947
2022-05-11	Connecticut	2392
2022-05-12	Connecticut	1963
2022-05-13	Connecticut	2396
2022-05-14	Connecticut	617
2022-05-15	Connecticut	617
2022-05-16	Connecticut	617
2022-05-17	Connecticut	1757
2022-05-18	Connecticut	1925
2022-05-19	Connecticut	1877
2022-05-20	Connecticut	2124
2022-05-21	Connecticut	1154
2022-05-22	Connecticut	1154
2022-05-23	Connecticut	1154
2022-05-24	Connecticut	1028
2022-05-25	Connecticut	1642
2022-05-26	Connecticut	1581
2022-05-27	Connecticut	1138
2022-05-28	Connecticut	682
2022-05-29	Connecticut	682
2022-05-30	Connecticut	682
2022-05-31	Connecticut	682
2022-06-01	Connecticut	996
2022-06-02	Connecticut	659
2022-06-03	Connecticut	1083
2022-06-04	Connecticut	581
2022-06-05	Connecticut	581
2022-06-06	Connecticut	581
2022-06-07	Connecticut	652
2022-06-08	Connecticut	657
2022-06-09	Connecticut	675
2022-06-10	Connecticut	696
2022-06-11	Connecticut	539
2022-06-12	Connecticut	539
2022-06-13	Connecticut	539
2022-06-14	Connecticut	745
2022-06-15	Connecticut	813
2022-06-16	Connecticut	495
2022-06-17	Connecticut	844
2022-06-18	Connecticut	483
2022-06-19	Connecticut	483
2022-06-20	Connecticut	483
2022-06-21	Connecticut	579
2022-01-23	Florida	35635
2022-01-24	Florida	34875
2022-01-25	Florida	37285
2022-01-26	Florida	27865
2022-01-27	Florida	30421
2022-01-28	Florida	22538
2022-01-29	Florida	19663
2022-01-30	Florida	15276
2022-01-31	Florida	19939
2022-02-01	Florida	16814
2022-02-02	Florida	17726
2022-02-03	Florida	18863
2022-02-04	Florida	18976
2022-02-05	Florida	11532
2022-02-06	Florida	20391
2022-02-07	Florida	19221
2022-02-08	Florida	12867
2022-02-09	Florida	10149
2022-02-10	Florida	9805
