date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-05-16	France	other	46.07467	152.04323	13.769587	105.73459	21.580397	70.95623	30.952839	0.001503928
2022-05-17	France	other	44.19584	154.47098	12.487858	104.56482	20.097763	69.33183	29.109879	0.0014613948
2022-05-18	France	other	42.5327	155.02806	11.568438	104.18731	18.815231	67.87457	27.643976	0.0014222299
2022-05-19	France	other	40.909737	157.63438	10.592076	103.74129	17.50339	66.91744	26.00629	0.0013809556
2022-05-13	Germany	Delta	1.119323	23.497997	0.049164586	8.402516	0.13860396	3.1968596	0.39304316	1.6105874e-05
2022-05-14	Germany	Delta	1.04236	23.653894	0.042111695	8.4758215	0.12625639	3.115961	0.36196178	1.5400325e-05
2022-05-15	Germany	Delta	0.9869219	24.174044	0.036135342	8.442065	0.11155803	2.9897404	0.32961896	1.4423667e-05
2022-05-16	Germany	Delta	0.91820866	24.842262	0.031271774	8.340045	0.099477746	2.9048586	0.29952726	1.3518238e-05
2022-05-17	Germany	Delta	0.86474764	25.464186	0.027821299	8.278915	0.088144064	2.8087027	0.26957944	1.27868825e-05
2022-05-18	Germany	Delta	0.8218642	26.898298	0.023408959	8.186189	0.07819403	2.7317758	0.24305946	1.2019251e-05
2022-05-19	Germany	Delta	0.77146614	27.53077	0.020107634	8.32493	0.069129564	2.6559448	0.2242429	1.1219672e-05
2022-05-13	Germany	Omicron 21K	505.7367	3031.3777	100.08887	1510.4403	176.19432	901.0796	285.94278	0.0073972833
2022-05-14	Germany	Omicron 21K	482.67133	3354.954	84.36904	1592.1083	154.19092	892.54285	263.70148	0.0070606074
2022-05-15	Germany	Omicron 21K	458.96304	3629.939	71.32706	1672.0201	136.30595	898.70593	243.07037	0.0067332876
2022-05-16	Germany	Omicron 21K	435.63742	3987.4482	60.146038	1721.567	118.00295	892.0421	223.6044	0.006407467
2022-05-17	Germany	Omicron 21K	416.8755	4429.236	50.388138	1787.8313	102.82392	899.49304	202.47064	0.0061391145
2022-05-18	Germany	Omicron 21K	396.86972	4962.314	42.055058	1877.6018	89.09018	899.18207	182.11748	0.005880568
2022-05-19	Germany	Omicron 21K	380.15128	5429.7505	35.547142	1980.3363	78.11226	904.5986	165.23483	0.005532923
2022-05-13	Germany	Omicron 21L	61663.766	93342.766	41051.895	81127.664	46907.25	71028.51	53714.766	0.9228269
2022-05-14	Germany	Omicron 21L	60731.203	96882.48	38344.496	82907.39	44732.723	71200.51	52154.957	0.916069
2022-05-15	Germany	Omicron 21L	59774.523	100324.55	36007.375	84529.26	42869.754	71583.59	50367.562	0.908882
2022-05-16	Germany	Omicron 21L	58666.03	104024.7	33474.258	86229.3	40755.746	71804.83	48630.617	0.9005481
2022-05-17	Germany	Omicron 21L	57675.78	108463.695	31339.916	88368.805	38782.21	71994.48	47047.61	0.8912408
2022-05-18	Germany	Omicron 21L	56714.297	113214.17	29328.963	90105.21	36937.945	72569.664	45341.086	0.8807968
2022-05-19	Germany	Omicron 21L	55817.504	118343.61	27370.412	92292.305	35016.742	73103.64	43614.664	0.8686687
2022-05-13	Germany	Omicron 22A	454.53668	4047.0393	57.08841	1874.1074	115.57717	946.51587	225.788	0.006755936
2022-05-14	Germany	Omicron 22A	490.51672	4904.531	55.261684	2135.2778	114.17326	1047.0869	233.03719	0.0072315205
2022-05-15	Germany	Omicron 22A	525.3807	5726.8257	53.640034	2387.0247	113.641655	1164.1163	239.69199	0.0077715325
2022-05-16	Germany	Omicron 22A	561.6604	6773.8994	51.637093	2765.622	112.981255	1292.2341	247.5813	0.008334141
