date	location	cases
2022-01-01	Denmark	20885
2022-01-02	Denmark	7954
2022-01-03	Denmark	8801
2022-01-04	Denmark	25073
2021-10-15	France	6099
2021-10-16	France	4899
2021-10-17	France	3778
2021-10-18	France	1057
2021-10-19	France	5945
2021-10-20	France	6036
2021-10-21	France	6127
2021-10-22	France	6366
2021-10-23	France	6291
2021-10-24	France	5005
2021-10-25	France	1295
2021-10-26	France	6635
2021-10-27	France	6999
2021-10-28	France	5990
2021-10-29	France	6433
2021-10-30	France	7360
2021-10-31	France	6329
2021-11-01	France	1866
2021-11-02	France	2039
2021-11-03	France	10230
2021-11-04	France	9344
2021-11-05	France	8998
2021-11-06	France	9605
2021-11-07	France	8547
2021-11-08	France	2197
2021-11-09	France	12511
2021-11-10	France	11883
2021-11-11	France	12603
2021-11-12	France	3860
2021-11-13	France	14646
2021-11-14	France	12496
2021-11-15	France	3259
2021-11-16	France	19778
2021-11-17	France	20294
2021-11-18	France	20366
2021-11-19	France	21220
2021-11-20	France	22678
2021-11-21	France	19749
2021-11-22	France	5291
2021-11-23	France	30454
2021-11-24	France	32591
2021-11-25	France	33464
2021-11-26	France	34436
2021-11-27	France	37057
2021-11-28	France	31581
2021-11-29	France	8507
2021-11-30	France	47201
2021-12-01	France	49610
2021-12-02	France	48416
2021-12-03	France	49858
2021-12-04	France	51464
2021-12-05	France	42153
2021-12-06	France	11578
2021-12-07	France	59019
2021-12-08	France	61340
2021-12-09	France	56854
2021-12-10	France	55140
2021-12-11	France	53919
2021-12-12	France	43848
2021-12-13	France	12064
2021-12-14	France	63405
2021-12-15	France	65713
2021-12-16	France	60866
2021-12-17	France	58128
2021-12-18	France	58536
2021-12-19	France	48473
2021-12-20	France	15075
2021-12-21	France	72857
2021-12-22	France	84272
2021-12-23	France	91608
2021-12-24	France	94124
2021-12-25	France	104611
2021-12-26	France	27697
2021-12-27	France	30459
2021-12-28	France	179808
2021-12-29	France	208099
2021-12-30	France	206544
2021-12-31	France	232200
2022-01-01	France	219126
2022-01-02	France	58432
2022-01-03	France	67461
2022-01-04	France	271746
2021-10-15	Germany	11664
2021-10-16	Germany	8420
2021-10-17	Germany	6766
2021-10-18	Germany	6562
2021-10-19	Germany	22340
2021-10-20	Germany	18802
2021-10-21	Germany	17508
2021-10-22	Germany	15093
2021-10-23	Germany	3849
2021-10-24	Germany	9905
2021-10-25	Germany	9359
2021-10-26	Germany	31402
2021-10-27	Germany	28826
2021-10-28	Germany	8079
2021-10-29	Germany	37520
2021-10-30	Germany	17248
2021-10-31	Germany	0
2021-11-01	Germany	11315
2021-11-02	Germany	30691
2021-11-03	Germany	34498
2021-11-04	Germany	37640
2021-11-05	Germany	33785
2021-11-06	Germany	23788
2021-11-07	Germany	12788
2021-11-08	Germany	23714
2021-11-09	Germany	41286
2021-11-10	Germany	51077
2021-11-11	Germany	48834
2021-11-12	Germany	45356
2021-11-13	Germany	34309
2021-11-14	Germany	19203
2021-11-15	Germany	34958
2021-11-16	Germany	53627
2021-11-17	Germany	68366
2021-11-18	Germany	58768
2021-11-19	Germany	57302
2021-11-20	Germany	45183
2021-11-21	Germany	26241
2021-11-22	Germany	47887
2021-11-23	Germany	68049
2021-11-24	Germany	79051
2021-11-25	Germany	74579
2021-11-26	Germany	65584
2021-11-27	Germany	44977
2021-11-28	Germany	23325
2021-11-29	Germany	50745
2021-11-30	Germany	68680
2021-12-01	Germany	75456
2021-12-02	Germany	73279
2021-12-03	Germany	62193
2021-12-04	Germany	43500
2021-12-05	Germany	22945
2021-12-06	Germany	18322
2021-12-07	Germany	93087
2021-12-08	Germany	27482
2021-12-09	Germany	103018
2021-12-10	Germany	53296
2021-12-11	Germany	32752
2021-12-12	Germany	17116
2021-12-13	Germany	35423
2021-12-14	Germany	52233
2021-12-15	Germany	56902
2021-12-16	Germany	51400
2021-12-17	Germany	15716
2021-12-18	Germany	55603
2021-12-19	Germany	0
2021-12-20	Germany	21742
2021-12-21	Germany	64949
2021-12-22	Germany	44313
2021-12-23	Germany	34420
2021-12-24	Germany	4068
2021-12-25	Germany	17238
2021-12-26	Germany	10172
2021-12-27	Germany	18750
2021-12-28	Germany	30998
2021-12-29	Germany	69956
2021-12-30	Germany	42070
2021-12-31	Germany	21764
2022-01-01	Germany	2968
2022-01-02	Germany	12636
2022-01-03	Germany	50013
2022-01-04	Germany	61905
2021-10-15	India	15981
2021-10-16	India	14146
2021-10-17	India	13596
2021-10-18	India	13058
2021-10-19	India	14623
2021-10-20	India	18454
2021-10-21	India	15786
2021-10-22	India	16326
2021-10-23	India	15906
2021-10-24	India	14306
2021-10-25	India	12428
2021-10-26	India	13451
2021-10-27	India	16156
2021-10-28	India	14348
2021-10-29	India	14313
2021-10-30	India	12830
2021-10-31	India	12514
2021-11-01	India	10423
2021-11-02	India	11903
2021-11-03	India	12885
2021-11-04	India	12729
2021-11-05	India	10929
2021-11-06	India	10826
2021-11-07	India	11478
2021-11-08	India	10126
2021-11-09	India	11466
2021-11-10	India	13091
2021-11-11	India	12516
2021-11-12	India	11850
2021-11-13	India	11271
2021-11-14	India	10229
2021-11-15	India	8865
2021-11-16	India	10197
2021-11-17	India	11919
2021-11-18	India	11106
2021-11-19	India	10302
2021-11-20	India	10488
2021-11-21	India	8488
2021-11-22	India	7579
2021-11-23	India	9283
2021-11-24	India	9119
2021-11-25	India	10549
2021-11-26	India	8318
2021-11-27	India	8774
2021-11-28	India	8309
2021-11-29	India	6990
2021-11-30	India	8954
2021-12-01	India	9765
2021-12-02	India	9216
2021-12-03	India	8603
2021-12-04	India	0
2021-12-05	India	17201
2021-12-06	India	6822
2021-12-07	India	8439
2021-12-08	India	9419
2021-12-09	India	8402
2021-12-10	India	7990
2021-12-11	India	7877
2021-12-12	India	7350
2021-12-13	India	5784
2021-12-14	India	6984
2021-12-15	India	7974
2021-12-16	India	7447
2021-12-17	India	0
2021-12-18	India	7145
2021-12-19	India	13644
2021-12-20	India	5326
2021-12-21	India	6317
2021-12-22	India	7495
2021-12-23	India	6650
2021-12-24	India	7189
2021-12-25	India	6987
2021-12-26	India	6531
2021-12-27	India	6358
2021-12-28	India	9195
2021-12-29	India	13154
2021-12-30	India	16764
2021-12-31	India	22775
2022-01-01	India	27553
2022-01-02	India	33750
2022-01-03	India	37379
2022-01-04	India	58097
2021-10-15	Ireland	1907
2021-10-16	Ireland	2180
2021-10-17	Ireland	1380
2021-10-18	Ireland	1576
2021-10-19	Ireland	2397
2021-10-20	Ireland	2147
2021-10-21	Ireland	2026
2021-10-22	Ireland	2465
2021-10-23	Ireland	2427
2021-10-24	Ireland	1725
2021-10-25	Ireland	1845
2021-10-26	Ireland	2180
2021-10-27	Ireland	1624
2021-10-28	Ireland	2598
2021-10-29	Ireland	2541
2021-10-30	Ireland	2966
2021-10-31	Ireland	1963
2021-11-01	Ireland	2855
2021-11-02	Ireland	3723
2021-11-03	Ireland	3174
2021-11-04	Ireland	3024
2021-11-05	Ireland	3903
2021-11-06	Ireland	3685
2021-11-07	Ireland	3428
2021-11-08	Ireland	3161
2021-11-09	Ireland	5331
2021-11-10	Ireland	2968
2021-11-11	Ireland	3677
2021-11-12	Ireland	5478
2021-11-13	Ireland	4642
2021-11-14	Ireland	3805
2021-11-15	Ireland	4558
2021-11-16	Ireland	4407
2021-11-17	Ireland	3632
2021-11-18	Ireland	4646
2021-11-19	Ireland	3133
2021-11-20	Ireland	5959
2021-11-21	Ireland	4181
2021-11-22	Ireland	5630
2021-11-23	Ireland	3661
2021-11-24	Ireland	3891
2021-11-25	Ireland	4763
2021-11-26	Ireland	4619
2021-11-27	Ireland	4791
2021-11-28	Ireland	3735
2021-11-29	Ireland	4603
2021-11-30	Ireland	5458
2021-12-01	Ireland	3790
2021-12-02	Ireland	4159
2021-12-03	Ireland	5408
2021-12-04	Ireland	5622
2021-12-05	Ireland	5156
2021-12-06	Ireland	2911
2021-12-07	Ireland	5565
2021-12-08	Ireland	4126
2021-12-09	Ireland	4003
2021-12-10	Ireland	4097
2021-12-11	Ireland	4004
2021-12-12	Ireland	4667
2021-12-13	Ireland	4683
2021-12-14	Ireland	3871
2021-12-15	Ireland	4230
2021-12-16	Ireland	4141
2021-12-17	Ireland	3595
2021-12-18	Ireland	7333
2021-12-19	Ireland	5124
2021-12-20	Ireland	4788
2021-12-21	Ireland	5269
2021-12-22	Ireland	6307
2021-12-23	Ireland	7411
2021-12-24	Ireland	11182
2021-12-25	Ireland	13765
2021-12-26	Ireland	10404
2021-12-27	Ireland	6735
2021-12-28	Ireland	9006
2021-12-29	Ireland	16428
2021-12-30	Ireland	20554
2021-12-31	Ireland	20110
2022-01-01	Ireland	23281
2022-01-02	Ireland	0
2022-01-03	Ireland	34057
2022-01-04	Ireland	21302
2021-10-15	Israel	1305
2021-10-16	Israel	1104
2021-10-17	Israel	1000
2021-10-18	Israel	1441
2021-10-19	Israel	1243
2021-10-20	Israel	901
2021-10-21	Israel	1060
2021-10-22	Israel	932
2021-10-23	Israel	501
2021-10-24	Israel	684
2021-10-25	Israel	961
2021-10-26	Israel	857
2021-10-27	Israel	599
2021-10-28	Israel	675
2021-10-29	Israel	571
2021-10-30	Israel	384
2021-10-31	Israel	332
2021-11-01	Israel	760
2021-11-02	Israel	3379
2021-11-03	Israel	650
2021-11-04	Israel	554
2021-11-05	Israel	462
2021-11-06	Israel	342
2021-11-07	Israel	384
2021-11-08	Israel	777
2021-11-09	Israel	418
2021-11-10	Israel	470
2021-11-11	Israel	520
2021-11-12	Israel	413
2021-11-13	Israel	295
2021-11-14	Israel	308
2021-11-15	Israel	591
2021-11-16	Israel	452
2021-11-17	Israel	580
2021-11-18	Israel	445
2021-11-19	Israel	465
2021-11-20	Israel	361
2021-11-21	Israel	351
2021-11-22	Israel	701
2021-11-23	Israel	0
2021-11-24	Israel	494
2021-11-25	Israel	607
2021-11-26	Israel	453
2021-11-27	Israel	340
2021-11-28	Israel	329
2021-11-29	Israel	766
2021-11-30	Israel	684
2021-12-01	Israel	443
2021-12-02	Israel	565
2021-12-03	Israel	415
2021-12-04	Israel	359
2021-12-05	Israel	473
2021-12-06	Israel	755
2021-12-07	Israel	804
2021-12-08	Israel	755
2021-12-09	Israel	571
2021-12-10	Israel	585
2021-12-11	Israel	356
2021-12-12	Israel	474
2021-12-13	Israel	800
2021-12-14	Israel	761
2021-12-15	Israel	627
2021-12-16	Israel	878
2021-12-17	Israel	720
2021-12-18	Israel	696
2021-12-19	Israel	794
2021-12-20	Israel	1356
2021-12-21	Israel	1120
2021-12-22	Israel	1200
2021-12-23	Israel	1745
2021-12-24	Israel	1351
2021-12-25	Israel	1455
2021-12-26	Israel	1241
2021-12-27	Israel	3046
2021-12-28	Israel	2995
2021-12-29	Israel	3446
2021-12-30	Israel	5600
2021-12-31	Israel	3886
2022-01-01	Israel	6121
2022-01-02	Israel	5060
2022-01-03	Israel	9803
2022-01-04	Israel	6882
2021-10-15	Netherlands	3710
2021-10-16	Netherlands	3707
2021-10-17	Netherlands	3672
2021-10-18	Netherlands	3358
2021-10-19	Netherlands	3903
2021-10-20	Netherlands	4585
2021-10-21	Netherlands	5196
2021-10-22	Netherlands	5872
2021-10-23	Netherlands	5682
2021-10-24	Netherlands	6290
2021-10-25	Netherlands	5298
2021-10-26	Netherlands	5751
2021-10-27	Netherlands	7262
2021-10-28	Netherlands	7685
2021-10-29	Netherlands	7393
2021-10-30	Netherlands	7944
2021-10-31	Netherlands	8172
2021-11-01	Netherlands	7698
2021-11-02	Netherlands	7730
2021-11-03	Netherlands	9109
2021-11-04	Netherlands	10214
2021-11-05	Netherlands	10919
2021-11-06	Netherlands	11954
2021-11-07	Netherlands	11350
2021-11-08	Netherlands	11811
2021-11-09	Netherlands	11282
2021-11-10	Netherlands	12657
2021-11-11	Netherlands	16287
2021-11-12	Netherlands	16204
2021-11-13	Netherlands	13854
2021-11-14	Netherlands	12024
2021-11-15	Netherlands	19207
2021-11-16	Netherlands	20172
2021-11-17	Netherlands	20762
2021-11-18	Netherlands	23597
2021-11-19	Netherlands	21030
2021-11-20	Netherlands	21797
2021-11-21	Netherlands	20643
2021-11-22	Netherlands	23002
2021-11-23	Netherlands	22960
2021-11-24	Netherlands	23714
2021-11-25	Netherlands	22187
2021-11-26	Netherlands	21278
2021-11-27	Netherlands	22033
2021-11-28	Netherlands	22133
2021-11-29	Netherlands	21452
2021-11-30	Netherlands	22158
2021-12-01	Netherlands	18520
2021-12-02	Netherlands	23043
2021-12-03	Netherlands	21530
2021-12-04	Netherlands	22617
2021-12-05	Netherlands	23078
2021-12-06	Netherlands	20975
2021-12-07	Netherlands	17916
2021-12-08	Netherlands	18066
2021-12-09	Netherlands	19770
2021-12-10	Netherlands	17475
2021-12-11	Netherlands	17712
2021-12-12	Netherlands	16592
2021-12-13	Netherlands	13783
2021-12-14	Netherlands	12784
2021-12-15	Netherlands	13475
2021-12-16	Netherlands	16325
2021-12-17	Netherlands	15367
2021-12-18	Netherlands	14636
2021-12-19	Netherlands	13259
2021-12-20	Netherlands	12166
2021-12-21	Netherlands	9313
2021-12-22	Netherlands	13374
2021-12-23	Netherlands	13345
2021-12-24	Netherlands	12449
2021-12-25	Netherlands	12564
2021-12-26	Netherlands	11886
2021-12-27	Netherlands	11496
2021-12-28	Netherlands	9220
2021-12-29	Netherlands	15708
2021-12-30	Netherlands	14885
2021-12-31	Netherlands	16849
2022-01-01	Netherlands	15674
2022-01-02	Netherlands	17478
2022-01-03	Netherlands	14536
2022-01-04	Netherlands	18913
2021-10-15	Norway	423
2021-10-16	Norway	334
2021-10-17	Norway	209
2021-10-18	Norway	545
2021-10-19	Norway	608
2021-10-20	Norway	657
2021-10-21	Norway	748
2021-10-22	Norway	641
2021-10-23	Norway	543
2021-10-24	Norway	424
2021-10-25	Norway	893
2021-10-26	Norway	1144
2021-10-27	Norway	1180
2021-10-28	Norway	996
2021-10-29	Norway	1125
2021-10-30	Norway	798
2021-10-31	Norway	627
2021-11-01	Norway	1335
2021-11-02	Norway	1626
2021-11-03	Norway	1514
2021-11-04	Norway	1534
2021-11-05	Norway	1506
2021-11-06	Norway	1062
2021-11-07	Norway	998
2021-11-08	Norway	1532
2021-11-09	Norway	2126
2021-11-10	Norway	1783
2021-11-11	Norway	2006
2021-11-12	Norway	1762
2021-11-13	Norway	1306
2021-11-14	Norway	1156
2021-11-15	Norway	783
2021-11-16	Norway	3530
2021-11-17	Norway	2475
2021-11-18	Norway	2425
2021-11-19	Norway	2364
2021-11-20	Norway	1338
2021-11-21	Norway	1470
2021-11-22	Norway	2391
2021-11-23	Norway	1520
2021-11-24	Norway	4575
2021-11-25	Norway	2970
2021-11-26	Norway	2942
2021-11-27	Norway	1891
2021-11-28	Norway	1721
2021-11-29	Norway	2877
2021-11-30	Norway	4045
2021-12-01	Norway	3780
2021-12-02	Norway	4140
2021-12-03	Norway	4191
2021-12-04	Norway	2964
2021-12-05	Norway	1530
2021-12-06	Norway	2675
2021-12-07	Norway	7631
2021-12-08	Norway	5259
2021-12-09	Norway	5355
2021-12-10	Norway	5413
2021-12-11	Norway	3477
2021-12-12	Norway	3622
2021-12-13	Norway	0
2021-12-14	Norway	10867
2021-12-15	Norway	5741
