seqName	clade	Nextclade_pango	partiallyAliased
AY.59	recombinant	XBC	XBC
AY.60	recombinant	XBC	XBC
AY.61	recombinant	XBC	XBC
AY.62	recombinant	XBC	XBC
AY.63	recombinant	XBC	XBC
AY.64	recombinant	XBC	XBC
AY.65	recombinant	XBC	XBC
AY.66	recombinant	XBC	XBC
AY.67	recombinant	XBC	XBC
AY.68	recombinant	XBC	XBC
AY.69	recombinant	XBC	XBC
AY.70	recombinant	XBC	XBC
AY.71	recombinant	XBC	XBC
AY.72	recombinant	XBC	XBC
AY.73	recombinant	XBC	XBC
AY.74	recombinant	XBC	XBC
AY.75	recombinant	XBC	XBC
AY.75.2	recombinant	XBC	XBC
AY.75.3	recombinant	XBC	XBC
AY.76	recombinant	XBA	XBA
AY.77	recombinant	XBA	XBA
AY.78	recombinant	XBA	XBA
AY.79	recombinant	XBA	XBA
AY.80	recombinant	XBA	XBA
AY.81	recombinant	XBA	XBA
AY.82	recombinant	XBA	XBA
AY.83	recombinant	XBA	XBA
AY.84	recombinant	XBA	XBA
AY.85	recombinant	XBA	XBA
AY.86	recombinant	XBA	XBA
AY.87	recombinant	XBA	XBA
AY.88	recombinant	XBA	XBA
AY.90	recombinant	XBA	XBA
AY.91	recombinant	XBA	XBA
AY.91.1	recombinant	XBA	XBA
AY.92	recombinant	XBA	XBA
AY.93	recombinant	XBA	XBA
AY.94	recombinant	XBA	XBA
AY.95	recombinant	XBA	XBA
AY.98	recombinant	XBA	XBA
AY.98.1	recombinant	XBA	XBA
AY.98.1.1	recombinant	XBA	XBA
AY.99	recombinant	XBA	XBA
AY.99.1	recombinant	XBA	XBA
AY.99.2	recombinant	XBA	XBA
AY.100	recombinant	XBA	XBA
AY.101	recombinant	XBA	XBA
AY.102	recombinant	XBA	XBA
AY.102.1	recombinant	XBA	XBA
AY.102.2	recombinant	XBA	XBA
AY.103	recombinant	XBA	XBA
AY.103.1	recombinant	XBA	XBA
AY.103.2	recombinant	XBA	XBA
AY.104	recombinant	XBA	XBA
AY.105	recombinant	XBA	XBA
AY.106	recombinant	XBA	XBA
AY.107	recombinant	XBA	XBA
AY.108	recombinant	XBA	XBA
AY.109	recombinant	XBA	XBA
AY.110	recombinant	XBA	XBA
AY.111	recombinant	XBA	XBA
AY.112	recombinant	XBA	XBA
AY.112.1	recombinant	XBA	XBA
AY.112.2	recombinant	XBA	XBA
AY.112.3	recombinant	XBA	XBA
AY.113	recombinant	XBA	XBA
AY.114	recombinant	XBA	XBA
AY.116	recombinant	XBA	XBA
AY.116.1	recombinant	XBA	XBA
AY.117	recombinant	XBA	XBA
AY.118	recombinant	XBA	XBA
AY.119	recombinant	XBA	XBA
AY.119.1	recombinant	XBA	XBA
AY.119.2	recombinant	XBA	XBA
AY.120	recombinant	XBA	XBA
AY.120.1	recombinant	XBA	XBA
AY.120.2	recombinant	XBA	XBA
AY.120.2.1	recombinant	XBA	XBA
AY.121	recombinant	XBA	XBA
AY.121.1	recombinant	XBA	XBA
AY.122	recombinant	XBA	XBA
AY.122.1	recombinant	XBA	XBA
AY.122.2	recombinant	XBA	XBA
AY.122.3	recombinant	XBA	XBA
AY.122.4	recombinant	XBA	XBA
AY.122.5	recombinant	XBA	XBA
AY.122.6	recombinant	XBA	XBA
AY.123	recombinant	XBA	XBA
AY.123.1	recombinant	XBA	XBA
AY.124	recombinant	XBA	XBA
AY.124.1	recombinant	XBA	XBA
AY.124.1.1	recombinant	XBA	XBA
AY.125	recombinant	XBA	XBA
AY.125.1	recombinant	XBA	XBA
AY.126	recombinant	XBA	XBA
AY.127	recombinant	XBA	XBA
AY.127.1	recombinant	XBA	XBA
AY.127.2	recombinant	XBA	XBA
AY.127.3	recombinant	XBA	XBA
AY.128	recombinant	XBA	XBA
