date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-07-27	India	Omicron 21K	0.02271464	5.05214	0.00013475468	0.8573296	0.000770449	0.1360927	0.0037678112	8.435504e-07
2022-07-21	India	Omicron 21L	6890.287	19700.377	2527.857	13869.043	3557.6416	9963.159	4804.8516	0.33922186
2022-07-22	India	Omicron 21L	6720.477	22937.48	2130.1309	14916.795	3119.9587	10351.955	4428.2734	0.3236069
2022-07-23	India	Omicron 21L	6489.259	26269.844	1728.6426	16066.497	2716.877	10578.912	4071.497	0.306772
2022-07-24	India	Omicron 21L	6284.8486	30522.291	1422.4567	17283.277	2387.3884	10740.678	3742.961	0.2900108
2022-07-25	India	Omicron 21L	6084.161	35409.668	1166.272	18778.5	2070.985	11142.988	3415.5706	0.27105424
2022-07-26	India	Omicron 21L	5886.2866	41036.973	947.2532	20526.81	1800.4828	11508.521	3099.979	0.2544076
2022-07-27	India	Omicron 21L	5660.047	48586.113	752.9195	22457.717	1539.7003	11828.694	2810.1025	0.23830092
2022-07-21	India	Omicron 22A	44.464645	291.33282	6.753626	157.72192	12.51247	86.23611	23.53006	0.0020497977
2022-07-22	India	Omicron 22A	41.916473	324.74878	5.7035155	164.12343	10.829344	85.64366	21.24457	0.001872048
2022-07-23	India	Omicron 22A	40.23522	347.91757	4.767072	169.19617	9.372779	84.613365	19.34948	0.0017074321
2022-07-24	India	Omicron 22A	38.281242	366.29166	4.0285497	177.52216	8.25406	83.74712	17.645243	0.001566163
2022-07-25	India	Omicron 22A	36.41028	406.1909	3.3292775	184.63438	7.2734776	83.8972	16.072514	0.0014343944
2022-07-26	India	Omicron 22A	34.905685	458.403	2.8509269	192.63153	6.3368998	82.80303	14.53142	0.0013027292
2022-07-27	India	Omicron 22A	32.69554	500.87814	2.386493	197.94724	5.5273485	83.32141	13.155132	0.0011886047
2022-07-21	India	Omicron 22B	1942.3595	8958.278	426.5386	5306.215	713.8893	3327.7742	1163.6938	0.09190777
2022-07-22	India	Omicron 22B	1901.9906	10028.532	365.18274	5662.0015	636.4086	3417.3342	1069.5408	0.08723152
2022-07-23	India	Omicron 22B	1842.5938	11526.221	297.1925	6110.714	571.674	3498.2722	986.556	0.08249675
2022-07-24	India	Omicron 22B	1798.3037	12914.027	249.00006	6552.4683	502.879	3565.7478	915.58936	0.07796472
2022-07-25	India	Omicron 22B	1759.0205	14929.323	205.49461	7102.256	455.8858	3650.6094	846.77203	0.073765755
2022-07-26	India	Omicron 22B	1714.863	17369.305	170.55655	7815.942	397.03555	3758.2349	778.3093	0.069376834
2022-07-27	India	Omicron 22B	1688.385	19618.746	144.25056	8537.916	353.20364	3878.711	720.92377	0.06546885
2022-07-21	India	Omicron 22C	2.8076568	63.011215	0.14437166	19.81035	0.3747736	7.836187	0.95633537	0.00012489877
2022-07-22	India	Omicron 22C	2.4409351	67.04315	0.108714975	19.504923	0.29191872	7.3205647	0.79144704	0.000106043255
2022-07-23	India	Omicron 22C	2.1231294	67.29721	0.07880541	19.276615	0.23269103	6.798429	0.67115843	8.964627e-05
2022-07-24	India	Omicron 22C	1.8394666	70.53534	0.059082415	18.657171	0.187031	6.2594147	0.54613507	7.551479e-05
2022-07-25	India	Omicron 22C	1.6077044	74.24678	0.04271077	18.473803	0.14383264	5.74656	0.45701703	6.336889e-05
2022-07-26	India	Omicron 22C	1.4062908	77.01894	0.031713296	18.164732	0.10869586	5.381978	0.37605047	5.3536194e-05
2022-07-27	India	Omicron 22C	1.2173538	79.46722	0.023508435	18.210264	0.08374902	4.992844	0.3103902	4.4817956e-05
2022-07-21	India	Omicron BA.2.75	10813.623	23512.453	4846.1177	18442.947	6348.6655	14236.094	8135.139	0.5283703
2022-07-22	India	Omicron BA.2.75	11431.76	28328.477	4599.9087	20693.91	6274.397	15680.959	8305.225	0.5449005
2022-07-23	India	Omicron BA.2.75	12019.912	34282.86	4253.0547	24002.92	6105.049	17303.475	8464.207	0.5621145
2022-07-24	India	Omicron BA.2.75	12716.399	41159.64	3982.2563	27765.336	5940.025	18981.586	8580.765	0.5769862
2022-07-25	India	Omicron BA.2.75	13420.994	50037.72	3679.1719	32054.203	5822.0654	21114.523	8642.582	0.5929313
2022-07-26	India	Omicron BA.2.75	14143.551	60561.8	3372.7246	36988.82	5653.884	23301.934	8724.023	0.60886073
2022-07-27	India	Omicron BA.2.75	15004.236	73820.055	3110.2249	42745.2	5466.995	25659.117	8790.844	0.6249089
2022-07-21	India	other	7.534387	36.512146	1.6479024	20.881493	2.8019607	12.859316	4.5821543	0.00035022246
2022-07-22	India	other	7.147616	36.5593	1.4323395	20.715292	2.5142279	12.638365	4.2022533	0.00031893648
2022-07-23	India	other	6.6899824	36.533173	1.2599806	20.651234	2.2329338	12.118132	3.8734024	0.00029020035
2022-07-24	India	other	6.2728586	36.768116	1.0865786	20.580238	1.9869889	11.704275	3.5408988	0.00026476505
2022-07-25	India	other	5.8962994	37.002926	0.92542696	20.529333	1.7673758	11.359926	3.2153838	0.00023780606
2022-07-26	India	other	5.5806823	38.216038	0.7863416	20.517208	1.5636375	11.029184	2.911106	0.00021386216
2022-07-27	India	other	5.269557	39.332047	0.67135054	20.494734	1.372772	10.758998	2.634445	0.00019378288
