date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-12-26	USA	BE.1.4	37.01706	57.721188	24.004356	49.809208	27.930862	43.418762	31.8633	0.0004174121
2022-12-20	USA	BE.4.2	108.91525	167.00984	71.23107	144.13893	82.02637	125.684204	94.11111	0.0015342957
2022-12-21	USA	BE.4.2	109.31485	170.09383	70.365906	146.36958	81.8289	126.98282	94.16222	0.0014948177
2022-12-22	USA	BE.4.2	109.95346	173.7259	69.99594	148.99245	81.627625	128.31268	94.17905	0.0014510774
2022-12-23	USA	BE.4.2	110.59856	177.12804	69.24464	151.4391	81.20252	129.85658	94.49511	0.001407376
2022-12-24	USA	BE.4.2	111.25122	180.05154	68.47245	153.64368	80.93662	131.30357	94.502625	0.0013625296
2022-12-25	USA	BE.4.2	111.7661	184.1758	67.61664	156.3922	80.419304	132.9522	94.51641	0.0013172687
2022-12-26	USA	BE.4.2	112.4101	188.36993	67.11376	158.73291	80.060684	134.48795	94.56531	0.0012694342
2022-12-20	USA	BF.10	98.770996	131.23724	76.47699	119.56735	83.52568	109.10067	90.20151	0.0013969133
2022-12-21	USA	BF.10	94.01088	126.52848	71.971535	115.02078	78.61165	104.58634	85.67671	0.0012879454
2022-12-22	USA	BF.10	89.49223	122.23164	67.441216	110.593895	74.08182	100.016396	81.121185	0.0011839564
2022-12-23	USA	BF.10	85.06531	118.21171	63.60116	106.48421	69.66673	95.760445	76.74519	0.0010879135
2022-12-24	USA	BF.10	80.94192	114.15402	59.459335	102.51218	65.504486	91.56334	72.516556	0.0009959694
2022-12-25	USA	BF.10	77.05752	110.5727	55.795563	98.6667	61.65291	87.84947	68.634384	0.00091066456
2022-12-26	USA	BF.10	73.45477	107.01696	52.16237	94.98896	57.948418	84.15361	64.945915	0.0008312892
2022-12-20	USA	BF.11	255.50839	333.92456	195.65715	304.87592	215.6825	279.47284	232.50609	0.0035925023
2022-12-21	USA	BF.11	249.75113	331.83298	188.24603	300.81424	208.58005	274.75327	226.4057	0.0034037407
2022-12-22	USA	BF.11	244.5831	330.05954	181.36758	297.77762	201.72145	269.7655	220.33858	0.003218765
2022-12-23	USA	BF.11	239.45384	329.1777	174.58061	294.40692	195.3753	265.17508	214.4863	0.003037237
2022-12-24	USA	BF.11	234.0845	326.7447	168.36623	290.94244	189.15303	261.39084	208.77954	0.0028599482
2022-12-25	USA	BF.11	229.20953	326.16537	161.77354	286.9869	182.94994	257.57812	202.94717	0.0026877928
2022-12-26	USA	BF.11	224.20932	324.36743	154.89732	284.31363	176.96419	253.47406	196.82211	0.0025195614
2022-12-20	USA	BF.13	49.61772	66.444275	37.566967	60.176155	41.248596	54.80017	44.859608	0.0006985379
2022-12-21	USA	BF.13	47.742462	65.02492	35.752213	58.721447	39.426914	53.03914	43.044693	0.00065218133
2022-12-22	USA	BF.13	45.981003	63.631294	33.943672	57.118416	37.63776	51.423233	41.243324	0.0006077221
2022-12-23	USA	BF.13	44.306873	62.44316	32.222397	55.457058	35.92218	49.759407	39.460335	0.0005649441
2022-12-24	USA	BF.13	42.74646	61.151665	30.563519	53.987167	34.26211	48.290462	37.890617	0.00052414904
2022-12-25	USA	BF.13	41.201664	59.81891	29.002785	52.650555	32.64178	46.7866	36.318645	0.0004849963
2022-12-26	USA	BF.13	39.69145	58.399574	27.459137	51.39371	31.103657	45.38659	34.77935	0.00044788694
2022-12-20	USA	BF.14	124.71758	168.61272	91.09468	153.11533	101.70262	138.97487	112.04874	0.0017527004
2022-12-21	USA	BF.14	122.76997	168.27328	88.92616	152.2019	99.30318	137.21593	109.66855	0.0016702611
2022-12-22	USA	BF.14	120.87534	167.94174	86.13497	151.25467	96.94712	135.85657	107.33653	0.0015890638
2022-12-23	USA	BF.14	118.88695	167.69632	83.280235	150.83437	94.57305	134.22578	105.15608	0.0015086555
2022-12-24	USA	BF.14	116.97267	167.70177	80.64608	150.65167	92.095795	132.73029	102.9655	0.0014297327
2022-12-25	USA	BF.14	115.14724	167.80067	78.082726	149.98451	89.700165	131.42514	100.53233	0.0013515673
2022-12-26	USA	BF.14	113.3485	167.73907	75.79137	149.30118	87.421104	130.05862	98.24111	0.0012748434
2022-12-20	USA	BF.26	133.88846	175.14073	104.93887	159.58249	114.50422	146.74597	123.21941	0.0018911444
2022-12-21	USA	BF.26	128.64839	170.48691	99.07088	154.708	108.95645	141.36514	117.82592	0.0017581293
2022-12-22	USA	BF.26	123.47709	167.28024	93.73617	149.88737	103.49612	136.7018	112.316414	0.001633049
2022-12-23	USA	BF.26	118.5824	163.3144	88.63166	145.2868	98.49155	132.1896	107.28729	0.0015130949
2022-12-24	USA	BF.26	113.822815	158.92348	83.46978	140.98517	93.32603	127.67077	102.40854	0.0013984784
2022-12-25	USA	BF.26	109.33103	155.40596	79.148895	136.94905	88.69505	123.265434	97.699234	0.0012905006
2022-12-26	USA	BF.26	105.07473	152.0943	74.49537	133.0341	84.246284	118.976074	93.23629	0.0011883443
2022-12-20	USA	BF.5	53.98014	70.088745	42.034313	64.03187	45.94319	59.117382	49.5343	0.0007606917
2022-12-21	USA	BF.5	51.30207	67.347595	39.3036	61.454235	43.173042	56.35441	46.87936	0.000700276
2022-12-22	USA	BF.5	48.725193	65.00467	36.768105	58.97436	40.633705	53.84481	44.295273	0.0006433316
2022-12-23	USA	BF.5	46.31485	62.830013	34.357983	56.71363	38.246613	51.512856	41.85971	0.0005894692
2022-12-24	USA	BF.5	43.98809	60.502716	32.04553	54.434265	35.96485	49.17093	39.481567	0.0005390784
2022-12-25	USA	BF.5	41.78421	58.58976	29.909758	52.25309	33.848396	46.965954	37.274975	0.00049192004
2022-12-26	USA	BF.5	39.716698	56.623734	27.887638	50.168266	31.73999	44.938145	35.24834	0.0004480871
2022-12-20	USA	BF.7	994.8963	1268.2671	795.78796	1168.5538	854.72076	1078.0935	915.98505	0.0140077155
2022-12-21	USA	BF.7	977.4055	1266.0697	768.2805	1160.1871	830.26843	1065.6145	895.0209	0.013320319
2022-12-22	USA	BF.7	959.16925	1263.323	742.04584	1153.5625	807.05707	1053.0613	872.87134	0.01264336
2022-12-23	USA	BF.7	941.7396	1264.5933	712.87836	1145.8683	785.7098	1038.9283	852.562	0.011974101
2022-12-24	USA	BF.7	924.79175	1263.7885	685.94543	1138.0244	761.754	1026.488	832.0614	0.011320557
2022-12-25	USA	BF.7	908.42017	1266.1354	660.2468	1130.996	739.1458	1013.27136	812.0036	0.010683928
2022-12-26	USA	BF.7	892.7284	1266.7611	636.8805	1122.2146	718.4192	1001.8205	792.092	0.010056922
2022-12-20	USA	BF.7.4	184.12425	239.9009	143.34483	220.18733	155.51025	202.92921	168.19635	0.0026015602
